timestamp,label,cores,mem_gb,model,run_idx,prompt_tokens,completion_tokens,max_tokens,prefill_tok_s,decode_tok_s,wall_ms,gpu_vendor,gpu_architecture,gpu_device,user_agent,prompt
2026-06-15T17:03:11.451Z,sys76-laptop,16,16,Qwen2.5-0.5B-Instruct-q4f16_1-MLC,1,35,127,128,371.9447,18.987,6799.900,intel,xe-lpg,,"Mozilla/5.0 (X11; Ubuntu; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36",Explain why transformers were such a pivotal moment in the development of artificial intelligence.
2026-06-15T17:03:11.451Z,sys76-laptop,16,16,Qwen2.5-0.5B-Instruct-q4f16_1-MLC,2,35,127,128,380.8487,18.4384,6995.800,intel,xe-lpg,,"Mozilla/5.0 (X11; Ubuntu; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36",Explain why transformers were such a pivotal moment in the development of artificial intelligence.
2026-06-15T17:03:11.451Z,sys76-laptop,16,16,Qwen2.5-0.5B-Instruct-q4f16_1-MLC,3,35,127,128,373.5326,19.2235,6717.200,intel,xe-lpg,,"Mozilla/5.0 (X11; Ubuntu; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36",Explain why transformers were such a pivotal moment in the development of artificial intelligence.
2026-06-15T17:03:11.451Z,sys76-laptop,16,16,Qwen2.5-0.5B-Instruct-q4f16_1-MLC,4,35,127,128,353.1786,19.1251,6755.700,intel,xe-lpg,,"Mozilla/5.0 (X11; Ubuntu; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36",Explain why transformers were such a pivotal moment in the development of artificial intelligence.
2026-06-15T17:03:11.451Z,sys76-laptop,16,16,Qwen2.5-0.5B-Instruct-q4f16_1-MLC,5,35,127,128,339.1473,19.3943,6667.100,intel,xe-lpg,,"Mozilla/5.0 (X11; Ubuntu; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36",Explain why transformers were such a pivotal moment in the development of artificial intelligence.
2026-06-15T17:03:11.451Z,sys76-laptop,16,16,Qwen2.5-0.5B-Instruct-q4f16_1-MLC,6,35,127,128,313.9013,19.0108,6808.200,intel,xe-lpg,,"Mozilla/5.0 (X11; Ubuntu; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36",Explain why transformers were such a pivotal moment in the development of artificial intelligence.
2026-06-15T17:03:11.451Z,sys76-laptop,16,16,Qwen2.5-0.5B-Instruct-q4f16_1-MLC,7,35,127,128,355.6911,19.3858,6667.000,intel,xe-lpg,,"Mozilla/5.0 (X11; Ubuntu; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36",Explain why transformers were such a pivotal moment in the development of artificial intelligence.
2026-06-15T17:03:11.451Z,sys76-laptop,16,16,Qwen2.5-0.5B-Instruct-q4f16_1-MLC,8,35,127,128,334.9282,20.0778,6444.700,intel,xe-lpg,,"Mozilla/5.0 (X11; Ubuntu; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36",Explain why transformers were such a pivotal moment in the development of artificial intelligence.
2026-06-15T17:03:11.451Z,sys76-laptop,16,16,Qwen2.5-0.5B-Instruct-q4f16_1-MLC,9,35,127,128,365.3445,20.3839,6343.000,intel,xe-lpg,,"Mozilla/5.0 (X11; Ubuntu; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36",Explain why transformers were such a pivotal moment in the development of artificial intelligence.
2026-06-15T17:03:11.451Z,sys76-laptop,16,16,Qwen2.5-0.5B-Instruct-q4f16_1-MLC,10,35,127,128,357.1429,19.4917,6631.100,intel,xe-lpg,,"Mozilla/5.0 (X11; Ubuntu; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36",Explain why transformers were such a pivotal moment in the development of artificial intelligence.
