timestamp,label,device,backend,cores,mem_gb,probe_compute_ms,probe_mem_gbs,gpu_vendor,gpu_architecture,N,variant,iters,median_ms,p95_ms,mean_ms,min_ms
2026-06-15T17:06:12.440Z,sys76-laptop,"Mozilla/5.0 (X11; Ubuntu; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36",cpu,16,16,0.2545,9.467,intel,xe-lpg,128,numpy-ts.dot,562,1.8137,2.0623,1.0566,0.1251
2026-06-15T17:06:12.440Z,sys76-laptop,"Mozilla/5.0 (X11; Ubuntu; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36",cpu,16,16,0.2545,9.467,intel,xe-lpg,128,handrolled-ijk,24,1.9167,2.0250,1.9200,1.8542
2026-06-15T17:06:12.440Z,sys76-laptop,"Mozilla/5.0 (X11; Ubuntu; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36",cpu,16,16,0.2545,9.467,intel,xe-lpg,128,handrolled-ikj,29,2.1310,2.2000,2.1169,2.0483
2026-06-15T17:06:12.440Z,sys76-laptop,"Mozilla/5.0 (X11; Ubuntu; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36",cpu,16,16,0.2545,9.467,intel,xe-lpg,256,numpy-ts.dot,4,17.9000,18.5750,17.6800,16.8250
2026-06-15T17:06:12.440Z,sys76-laptop,"Mozilla/5.0 (X11; Ubuntu; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36",cpu,16,16,0.2545,9.467,intel,xe-lpg,256,handrolled-ijk,6,16.0167,16.3667,15.9150,15.3667
2026-06-15T17:06:12.440Z,sys76-laptop,"Mozilla/5.0 (X11; Ubuntu; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36",cpu,16,16,0.2545,9.467,intel,xe-lpg,256,handrolled-ikj,4,15.3750,16.7250,15.5750,14.8000
2026-06-15T17:06:12.440Z,sys76-laptop,"Mozilla/5.0 (X11; Ubuntu; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36",cpu,16,16,0.2545,9.467,intel,xe-lpg,512,numpy-ts.dot,1,160.2000,172.8000,161.3400,151.7000
2026-06-15T17:06:12.440Z,sys76-laptop,"Mozilla/5.0 (X11; Ubuntu; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36",cpu,16,16,0.2545,9.467,intel,xe-lpg,512,handrolled-ijk,1,158.4000,161.7000,157.7900,153.7000
2026-06-15T17:06:12.440Z,sys76-laptop,"Mozilla/5.0 (X11; Ubuntu; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36",cpu,16,16,0.2545,9.467,intel,xe-lpg,512,handrolled-ikj,1,128.8000,132.3000,128.8300,127.1000
2026-06-15T17:06:12.440Z,sys76-laptop,"Mozilla/5.0 (X11; Ubuntu; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36",cpu,16,16,0.2545,9.467,intel,xe-lpg,1024,numpy-ts.dot,1,2785.5000,3046.5000,2607.8600,2228.7000
2026-06-15T17:06:12.440Z,sys76-laptop,"Mozilla/5.0 (X11; Ubuntu; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36",cpu,16,16,0.2545,9.467,intel,xe-lpg,1024,handrolled-ijk,1,2228.4000,2239.6000,2227.5800,2217.6000
2026-06-15T17:06:12.440Z,sys76-laptop,"Mozilla/5.0 (X11; Ubuntu; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36",cpu,16,16,0.2545,9.467,intel,xe-lpg,1024,handrolled-ikj,1,1014.5000,1023.3000,1015.1500,1007.4000
