timestamp,label,device,backend,cores,mem_gb,probe_compute_ms,probe_mem_gbs,gpu_vendor,gpu_architecture,N,variant,iters,median_ms,p95_ms,mean_ms,min_ms
2026-06-15T17:30:54.785Z,thinkpad-laptop,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/149.0.0.0 Safari/537.36",cpu,8,16,0.6175,3.226,intel,gen-9,128,numpy-ts.dot,302,0.1725,0.4132,0.2153,0.1692
2026-06-15T17:30:54.785Z,thinkpad-laptop,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/149.0.0.0 Safari/537.36",cpu,8,16,0.6175,3.226,intel,gen-9,128,handrolled-ijk,12,4.8083,4.9083,4.8217,4.8000
2026-06-15T17:30:54.785Z,thinkpad-laptop,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/149.0.0.0 Safari/537.36",cpu,8,16,0.6175,3.226,intel,gen-9,128,handrolled-ikj,10,5.0200,5.4400,5.0920,4.9700
2026-06-15T17:30:54.785Z,thinkpad-laptop,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/149.0.0.0 Safari/537.36",cpu,8,16,0.6175,3.226,intel,gen-9,256,numpy-ts.dot,40,47.6525,47.7450,42.9970,1.2975
2026-06-15T17:30:54.785Z,thinkpad-laptop,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/149.0.0.0 Safari/537.36",cpu,8,16,0.6175,3.226,intel,gen-9,256,handrolled-ijk,2,46.0000,46.2500,46.0150,45.8500
2026-06-15T17:30:54.785Z,thinkpad-laptop,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/149.0.0.0 Safari/537.36",cpu,8,16,0.6175,3.226,intel,gen-9,256,handrolled-ikj,2,40.1500,40.4500,40.0100,38.8000
2026-06-15T17:30:54.785Z,thinkpad-laptop,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/149.0.0.0 Safari/537.36",cpu,8,16,0.6175,3.226,intel,gen-9,512,numpy-ts.dot,1,378.9000,380.4000,378.6800,377.0000
2026-06-15T17:30:54.785Z,thinkpad-laptop,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/149.0.0.0 Safari/537.36",cpu,8,16,0.6175,3.226,intel,gen-9,512,handrolled-ijk,1,424.0000,426.6000,424.3000,423.1000
2026-06-15T17:30:54.785Z,thinkpad-laptop,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/149.0.0.0 Safari/537.36",cpu,8,16,0.6175,3.226,intel,gen-9,512,handrolled-ikj,1,310.0000,311.6000,310.1600,309.1000
2026-06-15T17:30:54.785Z,thinkpad-laptop,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/149.0.0.0 Safari/537.36",cpu,8,16,0.6175,3.226,intel,gen-9,1024,numpy-ts.dot,1,9708.2000,11899.3000,9848.1300,7473.7000
2026-06-15T17:30:54.785Z,thinkpad-laptop,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/149.0.0.0 Safari/537.36",cpu,8,16,0.6175,3.226,intel,gen-9,1024,handrolled-ijk,1,3457.4000,3541.8000,3460.9100,3436.0000
2026-06-15T17:30:54.785Z,thinkpad-laptop,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/149.0.0.0 Safari/537.36",cpu,8,16,0.6175,3.226,intel,gen-9,1024,handrolled-ikj,1,2466.8000,2470.1000,2467.3200,2464.9000
